user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
,, I need event to be at 13 tomorrow,make an event for 13 tomorrow,2,make an Event for 13 tomorrow,0,What will the temperature be at 3am tomorrow?,3,make an event for 1300 tomorrow,1,true
,, schedule a date with Lola this weekend on Saturday or Sunday for 3 hours,Schedule a date with Lola for 3 hours either Saturday or Sunday.,0,Can you tell me when my next block of free time is?,3,Schedule a date with Lola on Saturday for 3 hours.,2,schedule a date with Lola this weekend for 3 hours,1,true
 Decline the sales meeting tomorrow and say I had another meeting at the same time . ," I will decline "" Sales Meeting "" and send a response to the organizer with the following comment : "" I had another meeting at the same time "" . Is that ok ? ", Accept the invite for next week .,MAKE A ONE HOUR LUNCH THIS AFTERNOON,3,Accept that please.,1,Accept the meeting for next week,0,Accept the meeting for next week,2,true
,, I need to move my meeting with Jeron to later on this week .,Move my meeting with Jeron to later this week.,2,Move my meeting with Jeron to later this week.,1,Move my meeting with Jeron to sometime this week.,0,What do I have on Monday morning?,3,true
 Are there any meetings on my calendar with no attendees next month ? , I did n't find any events with no attendees next month . , Are there any events with no attendees tomorrow ?,Do I have anything with no attendees tomorrow?,1,Do I have anything with no attendees tomorrow?,2,Is there anything on my calendar tomorrow with no attendees?,0,"No, I need it to be 3 and a half hours instead.",3,true
 It is correct . Fran should be uninvited since she is out of town . , How about now ? , Uninvite Fran from the meeting .,Fran should be disinvited since she is out of town.,2,Yes but Fran is out of town now.,0,What is the address of the amphitheater?,1,Set up a meeting with my reports for 2 pm tomorrow.,3,true
 Do I have any dinner dates with Karina this week ? ," No , I did n't find any events with Karina this week . ", Add dinner with Karina Saturday at 8 pm,Schedule dinner with Karina for Saturday at 8 pm.,0,"Will it rain today in Columbia, South Carolina?",3,Can you schedule a meeting with Karina on Saturday at 8 pm?,2,Add dinner with Karina for last Saturday at 8 pm.,1,true
,, How did I respond to Abby 's Birthday Party,Did I RSVP to Abby's Birthday Party?,1,Did I RSVP to Abby's Birthday Party?,2,Did I RSVP to Abby's Birthday Party?,0,The bottom one please,3,true
,, Do I have time to walk the dog before my meeting ?,I need to walk the dog before the meeting.,1,Can you schedule walk the dog __User to end before my meeting?,2,What will the temperature be at 3am tomorrow?,3,I need to walk the dog before my meeting.,0,true
,, Decline the house party and say I have to work,Decline house party invite and say I have to work.,0,Please decline this event.,3,Decline the invite to the house party and say I have to work.,2,Decline house party invite and say I have to work.,1,true
,, What will the temperature be at 3 am tomorrow ?,What will the temperature be for my meeting at 3am tomorrow?,2,What will the temperature be at 3am tomorrow?,1,What will the temperature be at 3am tomorrow?,0,what will the weather be like at the car wash,3,true
,, BOOK 1 HOUR FOR LUNCH TODAY AFTERNOON,MAKE A ONE HOUR LUNCH TONIGHT,2,MAKE A ONE HOUR LUNCH THIS MORNING,1,"Emily isn't going to make it to the kickball game tonight, but Darren is.",3,MAKE A ONE HOUR LUNCH THIS AFTERNOON,0,true
 That s great . Do I have another festival in the spring to attend ? ," I 've changed "" Spring Festival "" to be . No , I did n't find any other events matching "" festival "" between March 1 , 2020 and May 31 , 2020 . ", Do I have anything in the Fall with Julie ?,MAKE A ONE HOUR LUNCH THIS MORNING,3,Do I have any events with Julie this fall?,1,Do I have any events this Fall with Julie?,0,Do I have any events this Spring with Julie?,2,true
 I 'm having super secret downtime next Tuesday from 1 to 5 . , Is this good ? , Can you make super secret downtime be on Wednesday ?,"No, it should actually be next Wednesday.",1,I meant the one on Thursday.,3,Can you change that to Wednesday?,0,Can you change that to Wednesday?,2,true
,, Please add a meeting in the main room for next tuesday at 8 am .,What about Sunday?,3,Change the location of the staff meeting tomorrow to Conference Room B.,0,create meeting in the main room on tuesday at 8,2,create meeting in main room on tuesday at 8,1,true
 Move the dentist appointment to next Saturday . , Is this the update you want ? , Book a lunch for next wednesday with sarah and her boss,Schedule a lunch with the manager and myself for next Wednesday.,2,The one in the morning.,3,Add a lunch with sarah's manager next wednesday,1,Schedule a lunch with the manager for next Wednesday.,0,true
,, Did I have any meetings early next week ?,Can you tell me when my next block of free time is?,1,Do I have any meetings early next week?,0,What do I have early next week?,2,Make my Car Seats happen in the PM,3,true
