"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_0","Input.option_0_idx","Input.option_1","Input.option_1_idx","Input.option_2","Input.option_2_idx","Input.option_3","Input.option_3_idx","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"736194","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30808","52","Tue Oct 11 14:52:40 UTC 2022","Tue Oct 11 14:53:41 UTC 2022","61"," Here are some times when you and Jenny are free . ","The first one. What will the weather be like there?","2","The first one, and send me the address.","1","The first one. What will the weather be like there?","0","Change my Football game to be in the PM","3"," I 'm gon na chill with Jenny at the Zanzabar in Louisville tomorrow "," I 'd like the first one , but please also check if there will be any showers ","","","1","esteng"
"736195","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30809","52","Tue Oct 11 14:53:41 UTC 2022","Tue Oct 11 14:54:03 UTC 2022","22"," I 've put that on your calendar . ","may 7, tuesday","1","may 1","0","Do I have anything scheduled for the day after?","3","May 3","2"," May 7 , Tue "," May 8,Wed ","","May 8, Wednesday","","esteng"
"736196","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30810","52","Tue Oct 11 14:54:03 UTC 2022","Tue Oct 11 14:54:15 UTC 2022","12","","Change tomorrow morning's meeting to noon.","3","Is Independence Day next Wednesday?","1","Is Fathers Day next Wednesday?","0","Is Tax Day next Wednesday?","2",""," Is the Fourth of July next Wednesday ? ","","","2","esteng"
"736197","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30811","52","Tue Oct 11 14:54:15 UTC 2022","Tue Oct 11 14:55:01 UTC 2022","46"," I 've put that on your calendar . Your status is set to Out of Office . ","Put recovery from 4-6PM and mark me as out of office.","1","Can you put recovery on my calendar from 3 to 6 pm and mark me as out of office","0","Do I have anything scheduled for the day after?","3","Mark me as out of office from 3-6PM","2"," Yes it 's perfect . "," From 3 PM-5 PM put recovery and also set as out of office . ","","can you put recovery on my calendar from 3 to 5 pm and mark me out of office","3","esteng"
"736198","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30812","52","Tue Oct 11 14:55:01 UTC 2022","Tue Oct 11 14:55:27 UTC 2022","26","","How hot will it be tomorrow night?","2","What are the chances of snow tomorrow night?","1","What are the chances of snow tomorrow night?","0","reschedule that","3",""," How many feel of snow are we expecting by tomorrow night ? ","","how much will it snow tomorrow night?","","esteng"
"736199","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30813","52","Tue Oct 11 14:55:28 UTC 2022","Tue Oct 11 14:55:49 UTC 2022","21"," The "" Meeting "" is on Friday from 5 : 00 to 5 : 30 PM . ","Yes, Lunch is perfect on Saturday at 11:00 am.","3","Do I have anything on Saturday that ends at the end of the day?","2","Do I have anything on Saturday that ends at the end of the day?","1","Do I have anything before the end of the day on Saturday?","0"," Can you find my event that s at the end of the day on friday ? "," Do I have any events that end at the end of the day on Saturday ? ","","","2","esteng"
"736200","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30814","52","Tue Oct 11 14:55:49 UTC 2022","Tue Oct 11 14:56:12 UTC 2022","23"," I will accept "" date "" and send a response to the organizer with the following comment : "" lets split the bill "" . Is that ok ? ","Yes. Accept my Lunch date and say its my turn to pay","1","make another appoint at the same time","3","Yes. Accept my Lunch date and say its my turn to pay to pay","0","Accept Lunch date and say its my turn to pay","2"," Awesome ! Also please accept the date request for tonight and say lets split the bill "," thanks that ok . Now Accept my Lunch date and say its my turn to pay ","","","4","esteng"
"736201","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30815","52","Tue Oct 11 14:56:12 UTC 2022","Tue Oct 11 14:56:30 UTC 2022","18"," The event at Starbucks is on Tuesday the 28 th at 9 : 00 AM . ","How did I respond?","2","And where is it?","0","Cancel my meeting with Rohila that is supposed to start now.","3","Can you pull up my calendar?","1"," When do I go to Starbucks again ? "," did I put a location down ? ","","","2","esteng"
"736202","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30816","52","Tue Oct 11 14:56:30 UTC 2022","Tue Oct 11 14:56:46 UTC 2022","16","","Does Buffalo Wild Wings in Sparks on E. Lincoln have takeout?","1","Is Buffalo Wild Wings in Sparks on E. Lincoln family friendly?","0","Is Buffalo Wild Wings in Sparks on E. Lincoln way family friendly?","2","Can you schedule lunch on March 15th at 8 am?","3",""," Is Buffalo Wild Wings in Sparks on E. Lincoln way is a good place to bring families to at all ? ","","","2","esteng"
"736203","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30817","52","Tue Oct 11 14:56:47 UTC 2022","Tue Oct 11 14:57:01 UTC 2022","14"," Ok , I wo n't do anything for now . Let me know what else I can help you with . ","cancel the meeting after that","0","Can you cancel my meeting after that?","2","LOOK FOR KORENA","3","cancel the appointment on calender","1"," Do nt do that "," I need to cancel a meeting later than that one ","","","2","esteng"
"736204","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30818","52","Tue Oct 11 14:57:01 UTC 2022","Tue Oct 11 14:57:18 UTC 2022","17"," No . The average wind speed is 5 . 77 mph in Wyoming today at 11 : 58 PM . ","Change the time to 2pm","3","What is the temperature in Allendale today?","1","What is the humidity today in Allendale?","2","What is the heat index today in Allendale?","0"," Is it going to be windy ? "," What are the temperatures going to be like in Allendale ? ","","","2","esteng"
