"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_idx_list","Input.option_list","Input.option_prob_list","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"737761","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30932","52","Thu Oct 20 18:21:24 UTC 2022","Thu Oct 20 18:21:33 UTC 2022","9"," That was the last result . ","[0, 2, 4]","[""Do I have a lunch after the dentist?"", ""Do I have lunch after the dentist?"", ""Do I have anything after lunch but before the dentist?""]","[""19.66"", ""0.00"", ""0.00""]"," And the next one ? "," IS there a lunch schedule after the dentist ? ","","","1","esteng"
"737762","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30933","52","Thu Oct 20 18:21:33 UTC 2022","Thu Oct 20 18:21:48 UTC 2022","15"," I can only do one action at a time . If you separate your requests , I can help you . ","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Why is that?"", ""Please schedule a meeting with the pope tomorrow."", ""Please add Mike to this meeting."", ""Please call Mike for me."", ""Can you schedule a meeting with Mike?"", ""Can you forward my meeting to Mike?"", ""Can you forward this to Mike and Mike""]","[""9.82"", ""57.33"", ""0.10"", ""0.09"", ""0.02"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Please cancel both Thursday meetings with John . "," Can you send Mike an invitation ? ","","","2","esteng"
"737763","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30934","52","Thu Oct 20 18:21:48 UTC 2022","Thu Oct 20 18:22:05 UTC 2022","17"," I 've put that on your calendar . ","[0, 1, 5, 7, 8]","[""down time with janice at 2"", ""2-4PM down time with janice"", ""schedule down time with janice until 4\\2"", ""2-4PM down time with janice at janice"", ""2-4PM is down time with janice.""]","[""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," That 'll work . "," 2 - 4 PM is down time with janice . ","","schedule down time with janice from 2-4PM","","esteng"
"737764","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30935","52","Thu Oct 20 18:22:05 UTC 2022","Thu Oct 20 18:22:34 UTC 2022","29"," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ","[0, 1, 3, 4]","[""How do I add an event to my calendar?"", ""Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20."", ""Add Strange Aeons to my calendar on Saturday from 7 pm to 11 pm at Roll20."", ""Can you confirm this?""]","[""0.06"", ""0.00"", ""0.00"", ""0.00""]"," Do I have anything on Sunday after 5 pm ? "," Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual . ","","Add Strange Aeons to my calendar on Sunday from 7:30 pm to 11pm at Roll20","","esteng"
"737765","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30936","52","Thu Oct 20 18:22:34 UTC 2022","Thu Oct 20 18:22:56 UTC 2022","22"," How about now ? ","[0, 1, 2, 3, 8, 9]","[""Extend the end time by 15 minutes."", ""Extend it to 8AM please"", ""Can you extend it by 30 min?"", ""That looks good."", ""Extend it to 8PM"", ""Extend appointment until 8:00 AM.""]","[""5.72"", ""49.73"", ""1.32"", ""0.00"", ""0.00"", ""0.00""]"," Extend it by 30 min "," it ends at 8 AM ","","","2","esteng"
"737766","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30937","52","Thu Oct 20 18:22:56 UTC 2022","Thu Oct 20 18:23:08 UTC 2022","12"," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ","[0, 3, 4, 5, 9]","[""Yes, that's good. Decline my hike and say that I'm busy wake boarding that day."", ""Yes, that's good. Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy wake boarding."", ""Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy boarding that day.""]","[""4.66"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Yes also decline my AC / CD Reunion and say i am going to see Journey instead "," Yes . And decline the hike and say that I 'm busy wake boarding that day . ","","","1","esteng"
"737767","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30938","52","Thu Oct 20 18:23:08 UTC 2022","Thu Oct 20 18:23:24 UTC 2022","16"," I 've put that on your calendar . ","[0, 1, 2, 3, 5, 6, 8, 9]","[""Schedule a video call with Tom and his supervisor on Friday at 2:00 pm."", ""Schedule a video call with the manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and his supervisor Friday at 2 pm."", ""Schedule a video call with Tom's manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and Tom's boss Friday at 2 pm."", ""Schedule a video call with him and his boss Friday at 2 pm."", ""Schedule a video call with both of them Friday at 2 pm."", ""Schedule a video call with Tom and his boss Friday at 2 pm.""]","[""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Looks good to me . "," Schedule a video call with Tom and his supervisor Friday at 2 . ","","","1","esteng"
"737768","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30939","52","Thu Oct 20 18:23:24 UTC 2022","Thu Oct 20 18:23:41 UTC 2022","17"," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ","[0, 2, 3, 4, 5, 6, 7]","[""Can you change that to end on Saturday?"", ""Can you make that an all day event lasting from tomorrow until Saturday?"", ""Can you extend that to the following Saturday?"", ""Can you make that an all day event from tomorrow until Saturday?"", ""Please make that event last from tomorrow until Saturday."", ""Can you change that to last from tomorrow until Saturday?"", ""Make it from today until Saturday.""]","[""0.73"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," What is my next all day event "," Can you extend that to Saturday ? ","","","1","esteng"
"737769","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30940","52","Thu Oct 20 18:23:41 UTC 2022","Thu Oct 20 18:24:29 UTC 2022","48"," Does one of these work ? ","[0, 1, 2, 4, 7, 8]","[""Looks good. Now make my track meet start around 3 pm"", ""Yes. I also have a track meet that I want to attend around 3 pm"", ""Looks good. I also have a track meet at around 3 pm"", ""Yes. I also have a track meet that day at around 3 pm"", ""Looks good. I also have a track meet today around 3 pm"", ""Looks good. I also have a track meet that day around 3 pm""]","[""9.70"", ""0.79"", ""0.30"", ""0.00"", ""0.00"", ""0.00""]"," Please change this to In N Out Burger and make it around 5 pm "," yes . now make me a track meet event around 3 pm ","","","1","esteng"
"737770","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30941","52","Thu Oct 20 18:24:29 UTC 2022","Thu Oct 20 18:24:48 UTC 2022","19","","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""I need to cancel all my meetings for tomorrow."", ""Can you move my Thursday meeting to Friday afternoon?"", ""Can you change my meeting on Thursday to be in the afternoon?"", ""Can you move my meeting from Thursday to Friday afternoon?"", ""Change my meeting from Thursday to Friday afternoon."", ""Move my meeting from last Thursday to this Friday afternoon."", ""Move my meeting on Thursday to the same time."", ""Move my appointment on Thursday to the same time."", ""Change my appointment on Thursday to next Thursday at the same time.""]","[""4.03"", ""0.29"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon . ","","","2","esteng"
